Angle,NE_Raw_1,NE_Needle_1,NE_Rod_1,NE_Small_Square_1,NE_Raw_2,NE_Needle_2,NE_Rod_2,NE_Small_Square_2
5.71216,0.017241379,0.205298013,0.040540541,0.148409894,0.027894003,0.190839695,0.080717489,0.119246862
5.73187,0.014588859,0.21192053,0.051801802,0.141342756,0.034867503,0.183206107,0.083707025,0.108786611
5.75157,0.015915119,0.19205298,0.045045045,0.137809187,0.042538354,0.183206107,0.077727952,0.125523013
5.77128,0.021220159,0.181015453,0.060810811,0.148409894,0.040446304,0.145038168,0.082212257,0.125523013
5.79099,0.01193634,0.176600442,0.039414414,0.120141343,0.026499303,0.229007634,0.071748879,0.121338912
5.81069,0.018567639,0.194260486,0.051801802,0.130742049,0.039748954,0.198473282,0.062780269,0.140167364
5.8304,0.01061008,0.156732892,0.046171171,0.123674912,0.029986053,0.167938931,0.059790732,0.131799163
5.85011,0.015915119,0.178807947,0.036036036,0.169611307,0.029986053,0.209923664,0.071748879,0.10460251
5.86981,0.017241379,0.194260486,0.042792793,0.113074205,0.025801953,0.152671756,0.074738416,0.10251046
5.88952,0.021220159,0.233995585,0.051801802,0.166077739,0.033472803,0.13740458,0.08819133,0.110878661
5.90922,0.013262599,0.185430464,0.047297297,0.144876325,0.030683403,0.164122137,0.07922272,0.125523013
5.92893,0.018567639,0.17218543,0.04954955,0.123674912,0.034170153,0.190839695,0.082212257,0.112970711
5.94864,0.019893899,0.220750552,0.03490991,0.113074205,0.029288703,0.164122137,0.064275037,0.110878661
5.96834,0.013262599,0.231788079,0.043918919,0.134275618,0.038354254,0.160305344,0.086696562,0.150627615
5.98805,0.014588859,0.154525386,0.042792793,0.127208481,0.034170153,0.152671756,0.058295964,0.119246862
6.00776,0.022546419,0.17218543,0.023648649,0.09540636,0.027196653,0.194656489,0.070254111,0.106694561
6.02746,0.015915119,0.156732892,0.038288288,0.106007067,0.034170153,0.194656489,0.071748879,0.110878661
6.04717,0.015915119,0.154525386,0.042792793,0.116607774,0.032775453,0.202290076,0.061285501,0.09832636
6.06688,0.022546419,0.156732892,0.037162162,0.141342756,0.023709902,0.152671756,0.076233184,0.079497908
6.08658,0.025198939,0.187637969,0.036036036,0.134275618,0.031380753,0.187022901,0.064275037,0.10041841
6.10629,0.015915119,0.161147903,0.039414414,0.116607774,0.032775453,0.160305344,0.074738416,0.10251046
6.126,0.01061008,0.152317881,0.038288288,0.113074205,0.032078103,0.152671756,0.085201794,0.092050209
6.1457,0.017241379,0.12803532,0.030405405,0.120141343,0.027196653,0.15648855,0.065769806,0.10251046
6.16541,0.022546419,0.125827815,0.043918919,0.077738516,0.033472803,0.209923664,0.065769806,0.094142259
6.18512,0.015915119,0.143487859,0.032657658,0.091872792,0.030683403,0.167938931,0.073243647,0.119246862
6.20482,0.015915119,0.174392936,0.030405405,0.116607774,0.033472803,0.122137405,0.055306428,0.10041841
