     Angle,NE_Needle
19.1323,0.161147903
19.152,0.198675497
19.1717,0.174392936
19.1914,0.181015453
19.2111,0.185430464
19.2308,0.200883002
19.2505,0.161147903
19.2702,0.141280353
19.2899,0.130242826
19.3096,0.145695364
19.3294,0.12803532
19.3491,0.105960265
19.3688,0.110375276
19.3885,0.132450331
19.4082,0.12803532
19.4279,0.119205298
19.4476,0.143487859
19.4673,0.189845475
19.487,0.196467991
19.5067,0.25607064
19.5264,0.309050773
19.5461,0.3598234
19.5658,0.397350993
19.5855,0.401766004
19.6052,0.44812362
19.6249,0.434878587
19.6447,0.419426049
19.6644,0.324503311
19.6841,0.364238411
19.7038,0.306843267
19.7235,0.269315673
19.7432,0.278145695
19.7629,0.29580574
19.7826,0.379690949
19.8023,0.454746137
19.822,0.554083885
19.8417,0.543046358
19.8614,0.584988962
19.8811,0.637969095
19.9008,0.642384106
19.9205,0.6401766
19.9403,0.565121413
19.96,0.509933775
19.9797,0.426048565
19.9994,0.3200883
20.0191,0.231788079
20.0388,0.205298013
20.0585,0.132450331
20.0782,0.150110375
20.0979,0.088300221
20.1176,0.110375276
20.1373,0.075055188
20.157,0.092715232
20.1767,0.092715232
20.1964,0.094922737
20.2161,0.08388521
20.2358,0.092715232
20.2556,0.070640177
20.2753,0.04415011
20.295,0.077262693
20.3147,0.068432671
20.3344,0.070640177
20.3541,0.066225166
20.3738,0.070640177
20.3935,0.048565121
20.4132,0.066225166
20.4329,0.06401766
20.4526,0.077262693
20.4723,0.048565121
20.492,0.077262693
20.5117,0.061810155
20.5314,0.046357616
20.5512,0.061810155
20.5709,0.059602649
20.5906,0.070640177
20.6103,0.066225166
20.63,0.066225166
20.6497,0.081677704
20.6694,0.055187638
20.6891,0.055187638
20.7088,0.075055188
20.7285,0.068432671
20.7482,0.070640177
20.7679,0.077262693
20.7876,0.072847682
20.8073,0.090507726
20.827,0.052980132
20.8468,0.092715232
20.8665,0.075055188
20.8862,0.055187638
20.9059,0.052980132
20.9256,0.099337748
20.9453,0.075055188
20.965,0.06401766
20.9847,0.06401766
21.0044,0.059602649
21.0241,0.08388521
21.0438,0.10816777
21.0635,0.092715232
21.0832,0.112582781
21.1029,0.132450331
21.1226,0.145695364
21.1423,0.112582781
21.1621,0.119205298
21.1818,0.119205298
21.2015,0.094922737
21.2212,0.08388521
21.2409,0.070640177
21.2606,0.072847682
21.2803,0.06401766
21.3,0.070640177
21.3197,0.061810155
21.3394,0.052980132
21.3591,0.086092715
21.3788,0.052980132
21.3985,0.057395143
21.4182,0.072847682
21.4379,0.068432671
21.4577,0.068432671
21.4774,0.077262693
21.4971,0.066225166
21.5168,0.086092715
21.5365,0.092715232
21.5562,0.103752759
21.5759,0.12803532
21.5956,0.125827815
21.6153,0.099337748
21.635,0.116997792
21.6547,0.121412804
21.6744,0.112582781
21.6941,0.134657837
21.7138,0.094922737
21.7335,0.116997792
21.7533,0.103752759
21.773,0.125827815
21.7927,0.10816777
21.8124,0.092715232
21.8321,0.105960265
21.8518,0.136865342
21.8715,0.156732892
21.8912,0.158940397
21.9109,0.119205298
21.9306,0.136865342
21.9503,0.132450331
21.97,0.116997792
21.9897,0.187637969
22.0094,0.110375276
22.0291,0.156732892
22.0488,0.163355408
22.0686,0.136865342
22.0883,0.112582781
22.108,0.077262693
22.1277,0.059602649
22.1474,0.088300221
22.1671,0.057395143
22.1868,0.081677704
22.2065,0.06401766
22.2262,0.079470199
22.2459,0.050772627
22.2656,0.066225166
22.2853,0.072847682
22.305,0.059602649
22.3247,0.059602649
