Angle,NE_Small_Square_2
19.1126,0.083682008
19.1323,0.09623431
19.152,0.112970711
19.1717,0.081589958
19.1914,0.108786611
19.2111,0.10251046
19.2308,0.094142259
19.2505,0.087866109
19.2702,0.071129707
19.2899,0.089958159
19.3096,0.069037657
19.3294,0.033472803
19.3491,0.089958159
19.3688,0.064853556
19.3885,0.085774059
19.4082,0.083682008
19.4279,0.073221757
19.4476,0.108786611
19.4673,0.125523013
19.487,0.167364017
19.5067,0.274058577
19.5264,0.30125523
19.5461,0.330543933
19.5658,0.29707113
19.5855,0.261506276
19.6052,0.188284519
19.6249,0.215481172
19.6447,0.184100418
19.6644,0.236401674
19.6841,0.263598326
19.7038,0.305439331
19.7235,0.246861925
19.7432,0.257322176
19.7629,0.349372385
19.7826,0.445606695
19.8023,0.556485356
19.822,0.868200837
19.8417,1
19.8614,0.958158996
19.8811,0.807531381
19.9008,0.566945607
19.9205,0.387029289
19.9403,0.236401674
19.96,0.142259414
19.9797,0.110878661
19.9994,0.092050209
20.0191,0.071129707
20.0388,0.071129707
20.0585,0.056485356
20.0782,0.039748954
20.0979,0.056485356
20.1176,0.048117155
20.1373,0.054393305
20.157,0.039748954
20.1767,0.041841004
20.1964,0.035564854
20.2161,0.037656904
20.2358,0.039748954
20.2556,0.052301255
20.2753,0.039748954
20.295,0.041841004
20.3147,0.046025105
20.3344,0.048117155
20.3541,0.066945607
20.3738,0.052301255
20.3935,0.046025105
20.4132,0.058577406
20.4329,0.048117155
20.4526,0.060669456
20.4723,0.077405858
20.492,0.041841004
20.5117,0.048117155
20.5314,0.056485356
20.5512,0.066945607
20.5709,0.050209205
20.5906,0.039748954
20.6103,0.031380753
20.63,0.058577406
20.6497,0.052301255
20.6694,0.048117155
20.6891,0.046025105
20.7088,0.052301255
20.7285,0.046025105
20.7482,0.056485356
20.7679,0.054393305
20.7876,0.050209205
20.8073,0.060669456
20.827,0.046025105
20.8468,0.056485356
20.8665,0.062761506
20.8862,0.064853556
20.9059,0.043933054
20.9256,0.052301255
20.9453,0.037656904
20.965,0.077405858
20.9847,0.066945607
21.0044,0.062761506
21.0241,0.09623431
21.0438,0.129707113
21.0635,0.144351464
21.0832,0.138075314
21.1029,0.106694561
21.1226,0.10251046
21.1423,0.073221757
21.1621,0.058577406
21.1818,0.064853556
21.2015,0.046025105
21.2212,0.043933054
21.2409,0.058577406
21.2606,0.037656904
21.2803,0.048117155
21.3,0.023012552
