     Angle,NE_Rod
16.8857,0.024774775
16.9055,0.039414414
16.9252,0.024774775
16.9449,0.029279279
16.9646,0.043918919
16.9843,0.041666667
17.004,0.048423423
17.0237,0.036036036
17.0434,0.061936937
17.0631,0.065315315
17.0828,0.061936937
17.1025,0.074324324
17.1222,0.088963964
17.1419,0.127252252
17.1616,0.152027027
17.1813,0.177927928
17.201,0.242117117
17.2208,0.353603604
17.2405,0.507882883
17.2602,0.724099099
17.2799,0.852477477
17.2996,0.941441441
17.3193,1
17.339,0.879504505
17.3587,0.664414414
17.3784,0.483108108
17.3981,0.341216216
17.4178,0.20045045
17.4375,0.111486486
17.4572,0.085585586
17.4769,0.072072072
17.4966,0.057432432
17.5164,0.037162162
17.5361,0.045045045
17.5558,0.043918919
17.5755,0.042792793
17.5952,0.045045045
17.6149,0.045045045
17.6346,0.041666667
17.6543,0.036036036
17.674,0.056306306
17.6937,0.068693694
17.7134,0.032657658
17.7331,0.047297297
17.7528,0.038288288
17.7725,0.028153153
17.7922,0.037162162
17.812,0.033783784
17.8317,0.025900901
17.8514,0.033783784
17.8711,0.028153153
17.8908,0.022522523
17.9105,0.024774775
17.9302,0.03490991
17.9499,0.033783784
17.9696,0.032657658
17.9893,0.023648649
18.009,0.029279279
18.0287,0.03490991
18.0484,0.038288288
18.0681,0.018018018
18.0878,0.024774775
18.1075,0.027027027
18.1273,0.027027027
18.147,0.028153153
18.1667,0.028153153
18.1864,0.023648649
18.2061,0.024774775
18.2258,0.033783784
18.2455,0.021396396
18.2652,0.028153153
18.2849,0.029279279
18.3046,0.037162162
18.3243,0.047297297
18.344,0.030405405
18.3637,0.036036036
18.3834,0.03490991
18.4031,0.04954955
18.4229,0.072072072
18.4426,0.060810811
18.4623,0.054054054
18.482,0.065315315
18.5017,0.065315315
18.5214,0.056306306
18.5411,0.054054054
18.5608,0.072072072
18.5805,0.081081081
18.6002,0.109234234
18.6199,0.156531532
18.6396,0.166666667
18.6593,0.220720721
18.679,0.203828829
18.6987,0.271396396
18.7184,0.243243243
18.7382,0.239864865
18.7579,0.173423423
18.7776,0.122747748
18.7973,0.103603604
18.817,0.09009009
18.8367,0.094594595
18.8564,0.085585586
18.8761,0.115990991
18.8958,0.109234234
18.9155,0.120495495
18.9352,0.122747748
18.9549,0.105855856
18.9746,0.082207207
18.9943,0.096846847
19.014,0.068693694
19.0338,0.059684685
19.0535,0.043918919
19.0732,0.054054054
19.0929,0.050675676
19.1126,0.061936937
19.1323,0.054054054
19.152,0.06981982
19.1717,0.074324324
19.1914,0.077702703
19.2111,0.097972973
19.2308,0.081081081
19.2505,0.064189189
19.2702,0.07545045
19.2899,0.06981982
19.3096,0.065315315
19.3294,0.046171171
19.3491,0.04954955
19.3688,0.043918919
19.3885,0.032657658
19.4082,0.041666667
19.4279,0.039414414
19.4476,0.037162162
19.4673,0.048423423
19.487,0.060810811
19.5067,0.064189189
19.5264,0.086711712
19.5461,0.131756757
19.5658,0.164414414
19.5855,0.182432432
19.6052,0.161036036
19.6249,0.202702703
19.6447,0.210585586
19.6644,0.193693694
19.6841,0.154279279
19.7038,0.127252252
19.7235,0.112612613
19.7432,0.118243243
19.7629,0.135135135
19.7826,0.092342342
19.8023,0.113738739
19.822,0.149774775
19.8417,0.171171171
19.8614,0.206081081
19.8811,0.266891892
19.9008,0.279279279
19.9205,0.311936937
19.9403,0.334459459
19.96,0.236486486
19.9797,0.226351351
19.9994,0.148648649
20.0191,0.106981982
20.0388,0.084459459
